ORG_CLE_REG,libelle,nb_val_jan24
5,Régions et Départements d'outre-mer,1266523
11,Ile-de-France,5687698
24,Centre-Val de Loire,1812648
27,Bourgogne-Franche-Comté,1816138
28,Normandie,1977909
32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,2761696
44,Grand Est,3186988
52,Pays de la Loire,2018801
53,Bretagne,1732399
75,Aquitaine-Limousin-Poitou-Charentes,2773121
76,Languedoc-Roussillon-Midi-Pyrénées,3171570
84,Auvergne-Rhône-Alpes,3116703
93,Provence-Alpes-Côte d'Azur et Corse,3052559
99,Inconnu,4383423
